"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Rural population","SP.RUR.TOTL","26683","27296","27694","27935","28107","28278","28461","28636","28811","28987","29164","29357","29570","29771","29922","29995","29972","29871","29751","29697","29764","30007","30401","30837","31157","31265","31084","30692","30325","30312","30876","32115","34119","36548","38981","41153","42965","44479","45788","47059","48412","49848","51324","52770","54071","55142","55950","56534","56973","57381","57850","58409","59010","59629","",
"Andorra","AND","Rural population","SP.RUR.TOTL","5574","5609","5618","5600","5555","5483","5384","5263","5124","4976","4818","4657","4491","4315","4123","3914","3692","3467","3247","3044","2862","2700","2552","2415","2285","2159","2175","2337","2508","2690","2883","3100","3343","3592","3831","4048","4226","4371","4513","4700","4974","5402","5988","6651","7312","7883","8320","8647","8903","9162","9491","9920","10416","10960","",
"Afghanistan","AFG","Rural population","SP.RUR.TOTL","8053093","8191776","8336849","8488678","8647218","8812926","8982621","9155758","9336932","9532672","9745630","9974031","10210256","10443514","10659735","10846880","11010143","11146158","11225201","11210890","11113608","10898657","10589980","10229722","9875027","9573893","9322709","9128059","9057045","9192303","9582508","10266581","11203918","12266215","13276704","14111593","14722117","15149265","15468595","15795782","16212255","16737515","17337061","17975806","18599587","19168962","19675341","20134247","20559067","20971495","21386676","21807572","22228823","22647650","",
"Angola","AGO","Rural population","SP.RUR.TOTL","4447787","4510667","4573061","4635334","4696009","4754394","4810122","4864307","4919106","4977500","5041423","5115578","5199651","5290881","5388448","5492305","5601068","5715495","5838798","5975449","6127584","6297869","6483032","6673203","6855182","7020610","7164992","7292670","7413796","7543174","7690240","7859475","8046097","8241401","8431784","8609042","8769905","8919691","9068188","9228832","9410607","9616274","9840770","10078444","10320159","10560441","10797049","11031193","11261733","11488666","11710512","11926670","12138574","12348328","",
"Albania","ALB","Rural population","SP.RUR.TOTL","1114818","1146208","1180553","1214693","1248887","1282417","1315273","1348911","1386348","1424962","1457678","1489206","1522477","1554419","1585958","1618163","1649474","1681437","1711648","1740858","1769877","1798543","1829633","1861315","1893194","1924635","1954134","1985256","2014614","2060783","2089320","2067878","2037549","2007405","1977318","1947385","1917515","1887867","1858316","1828925","1799636","1763855","1724026","1681466","1638394","1594194","1548865","1502731","1456542","1411116","1366547","1322800","1279528","1237506","",
"Arab World","ARB","Rural population","SP.RUR.TOTL","64165421","65216960","66290312","67363909","68430239","69472597","70582828","71839227","73090776","74315377","75496277","76646174","77745215","78881455","80202079","81710905","83416386","85320251","87330731","89366623","91337252","93235201","95089340","96850645","98478676","100149262","101799197","103517179","105353253","107240325","109823289","111864260","113829162","115901156","118148085","120445094","122617223","124621053","126475195","128303986","130180175","132116176","134097182","136116089","138200692","140306065","142465036","144708011","146990271","149243200","151428153","153565208","155668158","157743460","",
"United Arab Emirates","ARE","Rural population","SP.RUR.TOTL","23746","25035","26924","29065","31023","32600","33719","34690","36514","40634","46769","54987","65133","77285","91475","107614","125295","143956","162882","180499","195760","210683","225767","240074","255128","272084","290748","310806","332471","355142","378443","402474","427556","453628","480651","508702","531397","549506","567826","584228","598128","605906","610394","624255","663278","735929","846021","984447","1130137","1256311","1346003","1394546","1409938","1403695","",
"Argentina","ARG","Rural population","SP.RUR.TOTL","5442467","5403921","5373441","5340874","5305612","5268252","5227677","5185233","5142283","5101755","5064266","5039609","5020866","5003225","4983891","4961466","4934998","4906037","4874819","4843315","4812199","4764159","4708115","4652560","4596255","4539533","4482428","4424710","4365949","4306652","4246454","4191289","4176022","4159659","4141681","4122854","4102622","4081597","4059051","4034128","4006935","3977440","3943743","3907155","3869570","3832321","3795182","3758111","3720823","3684176","3647407","3611417","3576617","3542825","",
"Armenia","ARM","Rural population","SP.RUR.TOTL","909889","925591","940639","954695","967334","978380","987607","995074","1001077","1006080","1010788","1015401","1019188","1022034","1023603","1028226","1031506","1033623","1034648","1040054","1051193","1061453","1070667","1079467","1088751","1098913","1110795","1123508","1133661","1144653","1154826","1153663","1142542","1125269","1107658","1094042","1085914","1082364","1082500","1084477","1086908","1089805","1088298","1085381","1082669","1079823","1076544","1072859","1071985","1074798","1079305","1085728","1093780","1102074","",
"American Samoa","ASM","Rural population","SP.RUR.TOTL","6762","6831","6955","7114","7283","7447","7600","7745","7876","7990","8083","8156","8210","8247","8267","8275","8267","8249","8244","8275","8331","8358","8427","8524","8629","8728","8817","8897","8960","8998","8963","8763","8536","8292","8038","7783","7526","7268","7006","6738","6565","6695","6816","6918","6994","7035","7038","7008","6961","6920","6902","6909","6939","6987","",
