"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Urban population","SP.URB.TOTL","27525","28139","28532","28762","28922","29082","29251","29413","29574","29737","29901","30081","30279","30468","30603","30660","30617","30495","30355","30281","30332","30560","30943","31367","31674","31763","31560","31143","30752","30720","31272","32508","34116","35950","37719","39173","40230","40968","41488","41945","42446","43046","43671","44245","44671","44889","44880","44685","44371","44037","43747","43523","43374","43282","",
"Andorra","AND","Urban population","SP.URB.TOTL","7840","8767","9758","10810","11915","13068","14262","15492","16764","18085","19461","20903","22401","23916","25391","26792","28089","29302","30499","31775","33201","34802","36560","38447","40419","42438","44340","46121","47923","49759","51628","53574","55561","57411","58876","59806","60048","59719","59286","59384","60425","62598","65651","68992","71748","73340","73557","72645","71066","69497","68416","67945","67944","68258","",
"Afghanistan","AFG","Urban population","SP.URB.TOTL","721347","761768","804934","850829","899913","952089","1007504","1066144","1128838","1196519","1269991","1349415","1434121","1522838","1613854","1704910","1796667","1888302","1974396","2046238","2066823","2065131","2044514","2012206","1979178","1955084","1939730","1935048","1956300","2023020","2148685","2345462","2607958","2909110","3208314","3474480","3693190","3871961","4028241","4191289","4383105","4610267","4865745","5140336","5419095","5691893","5955941","6214996","6473130","6736692","7011136","7297908","7595713","7904024","",
"Angola","AGO","Urban population","SP.URB.TOTL","518201","546021","577015","609681","643884","679447","716531","755336","796266","839783","886664","933636","981212","1032176","1086885","1145323","1207665","1274055","1345646","1423755","1509557","1604001","1707061","1816661","1929571","2043036","2155686","2268352","2384259","2507959","2643604","2793252","2956661","3130755","3311648","3495910","3682040","3871697","4069354","4281784","4514323","4769009","5045804","5342631","5656556","5983935","6325360","6681631","7052708","7437984","7838612","8253820","8681951","9123290","",
"Albania","ALB","Urban population","SP.URB.TOTL","493982","513592","530766","547928","565248","582374","599300","616687","635924","656733","677801","698647","720649","742333","764166","786668","809052","832109","854618","876974","902120","927513","954645","982645","1011235","1040127","1068501","1098349","1127722","1167160","1197222","1198912","1209490","1219882","1230218","1240399","1250518","1260414","1270214","1279853","1289391","1300256","1327401","1352193","1376185","1398530","1419163","1438149","1456017","1473187","1490126","1506537","1522153","1536114","",
"Arab World","ARB","Urban population","SP.URB.TOTL","29320522","30841219","32438683","34132399","35929533","37845562","39796811","41704533","43696418","45762715","47904639","50079932","52350410","54710954","57125369","59665219","62352132","65153976","68092004","71142211","74316035","77600288","80978790","84495425","88153287","91897739","95723083","99468026","103107184","106671537","111665004","115606451","117613845","121517280","125123469","130059328","133315291","136639189","140062363","143608992","147381248","151376913","155583786","159979856","164623984","169518318","174660751","179985487","185434621","190905838","196308883","201571840","206798471","212018063","",
"United Arab Emirates","ARE","Urban population","SP.URB.TOTL","65862","72692","81850","92509","103388","113741","123171","132670","144248","160523","184760","217224","257306","305314","361373","425128","498155","579661","664309","745613","819065","879977","929998","975306","1022172","1075134","1136167","1203992","1276699","1351943","1428055","1505528","1585421","1667515","1751508","1837603","1939413","2059487","2185672","2309420","2428224","2526198","2613575","2744999","2995380","3412954","4029618","4812900","5668498","6462008","7095534","7530550","7795713","7942434","",
"Argentina","ARG","Urban population","SP.URB.TOTL","15181531","15555320","15921849","16289980","16658340","17025565","17391210","17756244","18127019","18510920","18914266","19331051","19764964","20212103","20662642","21108977","21548837","21983727","22418274","22858097","23307936","23785964","24280954","24782844","25290309","25800886","26314053","26829864","27347198","27863755","28378420","28883905","29344781","29802288","30257662","30710314","31161448","31609181","32050291","32480430","32896132","33295921","33683802","34063256","34439209","34815533","35193741","35573246","35955260","36339465","36726817","37117321","37510310","37903421","",
"Armenia","ARM","Urban population","SP.URB.TOTL","957507","1008648","1061531","1115732","1170799","1226270","1281868","1337550","1393558","1450290","1507620","1565493","1624276","1683550","1742892","1797424","1851325","1904558","1957306","2004510","2045105","2084432","2122210","2159745","2198837","2240234","2285716","2333546","2376778","2398067","2389869","2358249","2306955","2244404","2182285","2129131","2087511","2055288","2030458","2009343","1989190","1970155","1958704","1950651","1942983","1935094","1926367","1917023","1905503","1893356","1884191","1878392","1875301","1874492","",
"American Samoa","ASM","Urban population","SP.URB.TOTL","13250","13647","14163","14769","15418","16071","16720","17371","18010","18625","19209","19760","20280","20767","21224","21657","22058","22441","22861","23395","24125","25130","26313","27641","29058","30519","32018","33551","35089","36593","38081","39616","41061","42433","43769","45091","46400","47674","48893","50030","50957","51481","51913","52199","52268","52082","51614","50911","50092","49325","48734","48365","48189","48178","",
